Price,Adj Close,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volatility
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,,
2021-08-02,15885.150390625,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,15796.400048828125,15710.7,0.007746000136419795,0.006008376648905644
2021-08-03,16130.75,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,15811.220068359375,15729.36099609375,0.015460955882416139,0.006734545076062094
2021-08-04,16258.7998046875,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,15833.24755859375,15750.36798828125,0.007938242467802281,0.006892786794337662
2021-08-05,16294.599609375,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,15853.99501953125,15770.2309765625,0.0022018725316477195,0.006871118029070334
2021-08-06,16238.2001953125,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,15879.510009765625,15788.23798828125,-0.003461233501561467,0.006488160716552048
2021-08-09,16258.25,16258.25,16320.75,16179.0498046875,16281.349609375,240500,15907.93251953125,15804.68998046875,0.0012347307242392969,0.006419472640063302
2021-08-10,16280.099609375,16280.099609375,16359.25,16202.25,16274.7998046875,288000,15937.30751953125,15818.6359765625,0.0013439090538649445,0.0064092541733145065
2021-08-11,16282.25,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,15960.8025390625,15832.783984375,0.00013208706805212245,0.006271678004903222
2021-08-12,16364.400390625,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,15986.325048828125,15848.54798828125,0.005045395484346349,0.006317986129523668
2021-08-13,16529.099609375,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,16016.57001953125,15865.32298828125,0.010064482340847336,0.0065711306979285376
2021-08-16,16563.05078125,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,16048.5525390625,15883.17900390625,0.002054024277023725,0.006555319070648056
2021-08-17,16614.599609375,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,16091.6625,15900.43798828125,0.0031122785775283823,0.005831272974772781
2021-08-18,16568.849609375,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,16138.5,15917.01298828125,-0.00275360231817956,0.00546723634041023
2021-08-20,16450.5,16450.5,16509.55078125,16376.0498046875,16382.5,350800,16169.822509765625,15933.31599609375,-0.007142898400624986,0.005443727613405232
2021-08-23,16496.44921875,16496.44921875,16592.5,16395.69921875,16592.25,275600,16201.84248046875,15948.48998046875,0.0027931806783987323,0.005446941339947694
2021-08-24,16624.599609375,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,16241.849951171875,15964.99498046875,0.007768362083601765,0.005507720988429431
2021-08-25,16634.650390625,16634.650390625,16712.44921875,16617.5,16654.0,265900,16286.2599609375,15981.45099609375,0.0006045728309951315,0.005248633284295863
2021-08-26,16636.900390625,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,16332.6349609375,15996.80400390625,0.00013525983096518424,0.005149607287602769
2021-08-27,16705.19921875,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,16378.972412109375,16015.5569921875,0.004105261588480014,0.005145534327808462
2021-08-30,16931.05078125,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,16437.3724609375,16040.35,0.013519836521704187,0.0055779854222323
2021-08-31,17132.19921875,17132.19921875,17153.5,16915.849609375,16947.5,464400,16499.72490234375,16069.3269921875,0.011880446175423387,0.0058116331446377255
2021-09-01,17076.25,17076.25,17225.75,17055.05078125,17185.599609375,301900,16546.99990234375,16095.9219921875,-0.00326573477436376,0.005322288688008998
2021-09-02,17234.150390625,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,16595.767431640626,16125.15,0.009246783727399066,0.005395469691371938
2021-09-03,17323.599609375,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,16647.217431640624,16157.88298828125,0.005190230833697296,0.005415557744276529
2021-09-06,17377.80078125,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,16704.1974609375,16189.63,0.0031287476677577253,0.005192481595691539
2021-09-07,17362.099609375,17362.099609375,17436.5,17287.0,17401.55078125,243400,16759.38994140625,16219.665,-0.0009035189246697772,0.005261183152088861
2021-09-08,17353.5,17353.5,17383.400390625,17254.19921875,17375.75,252700,16813.0599609375,16250.44099609375,-0.0004953092983268625,0.005313046159096592
2021-09-09,17369.25,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,16867.4099609375,16282.8569921875,0.0009075978909154347,0.005292182042807534
2021-09-13,17355.30078125,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,16916.95498046875,16315.5330078125,-0.000803098507419775,0.005349017868505499
2021-09-14,17380.0,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,16959.5,16349.5330078125,0.001423151293159064,0.00508732466372866
2021-09-15,17519.44921875,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,17007.319921875,16385.47798828125,0.00802354538262362,0.005231300887125168
2021-09-16,17629.5,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,17058.06494140625,16421.38099609375,0.006281634763507293,0.005288194988028152
2021-09-17,17585.150390625,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,17108.87998046875,16456.71900390625,-0.002515647600612625,0.005274861817074722
2021-09-20,17396.900390625,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,17156.2,16487.06400390625,-0.010705054879733056,0.005679756204587907
2021-09-21,17562.0,17562.0,17578.349609375,17326.099609375,17450.5,363600,17209.4775390625,16523.74599609375,0.00949017386246398,0.005872479996432678
2021-09-22,17546.650390625,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,17255.580078125,16560.8830078125,-0.0008740239935656202,0.005832658794505949
2021-09-23,17822.94921875,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,17314.99501953125,16603.49,0.015746528367181822,0.006489537358176944
2021-09-24,17853.19921875,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,17375.8099609375,16644.3069921875,0.0016972499684944076,0.006456533703257589
2021-09-27,17855.099609375,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,17433.30498046875,16684.32998046875,0.00010644538279747096,0.006500329784669372
2021-09-28,17748.599609375,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,17474.182421875,16720.81796875,-0.0059646824901542495,0.006355034119494264
2021-09-29,17711.30078125,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,17503.1375,16756.5759765625,-0.0021015082285871234,0.006014837179101507
2021-09-30,17618.150390625,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,17530.23251953125,16793.8909765625,-0.005259376020738893,0.006116783080639614
2021-10-01,17532.05078125,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,17545.1275390625,16831.89,-0.004886983449795879,0.005999859147478033
2021-10-04,17691.25,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,17563.51005859375,16869.23400390625,0.009080467581137563,0.006206639384880449
2021-10-05,17822.30078125,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,17585.73505859375,16908.5590234375,0.007407660919946268,0.0063533963155537575
2021-10-06,17646.0,17646.0,17884.599609375,17613.150390625,17861.5,395800,17599.930078125,16944.99001953125,-0.009892144870289554,0.006817184981504641
2021-10-07,17790.349609375,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,17621.77255859375,16985.8680078125,0.008180302016037588,0.007001712540832445
2021-10-08,17895.19921875,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,17648.07001953125,17029.583984375,0.005893622760496431,0.007076603118020514
2021-10-11,17945.94921875,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,17677.60244140625,17072.93396484375,0.0028359561343596074,0.00706059057394355
2021-10-12,17991.94921875,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,17708.19990234375,17117.511953125,0.0025632525445875576,0.007062853680812988
2021-10-13,18161.75,18161.75,18197.80078125,18050.75,18097.849609375,506700,17740.31494140625,17163.0439453125,0.00943759784921161,0.0071356066482385246
